"date","hits","geo","time","keyword","gprop","category"
2019-05-18,55,"DE","today 1-m","Aldi Nord","web",0
2019-05-19,86,"DE","today 1-m","Aldi Nord","web",0
2019-05-20,87,"DE","today 1-m","Aldi Nord","web",0
2019-05-21,51,"DE","today 1-m","Aldi Nord","web",0
2019-05-22,55,"DE","today 1-m","Aldi Nord","web",0
2019-05-23,68,"DE","today 1-m","Aldi Nord","web",0
2019-05-24,56,"DE","today 1-m","Aldi Nord","web",0
2019-05-25,60,"DE","today 1-m","Aldi Nord","web",0
2019-05-26,84,"DE","today 1-m","Aldi Nord","web",0
2019-05-27,93,"DE","today 1-m","Aldi Nord","web",0
2019-05-28,62,"DE","today 1-m","Aldi Nord","web",0
2019-05-29,67,"DE","today 1-m","Aldi Nord","web",0
2019-05-30,48,"DE","today 1-m","Aldi Nord","web",0
2019-05-31,64,"DE","today 1-m","Aldi Nord","web",0
2019-06-01,64,"DE","today 1-m","Aldi Nord","web",0
2019-06-02,100,"DE","today 1-m","Aldi Nord","web",0
2019-06-03,91,"DE","today 1-m","Aldi Nord","web",0
2019-06-04,66,"DE","today 1-m","Aldi Nord","web",0
2019-06-05,75,"DE","today 1-m","Aldi Nord","web",0
2019-06-06,75,"DE","today 1-m","Aldi Nord","web",0
2019-06-07,53,"DE","today 1-m","Aldi Nord","web",0
2019-06-08,55,"DE","today 1-m","Aldi Nord","web",0
2019-06-09,68,"DE","today 1-m","Aldi Nord","web",0
2019-06-10,71,"DE","today 1-m","Aldi Nord","web",0
2019-06-11,86,"DE","today 1-m","Aldi Nord","web",0
2019-06-12,69,"DE","today 1-m","Aldi Nord","web",0
2019-06-13,64,"DE","today 1-m","Aldi Nord","web",0
2019-06-14,56,"DE","today 1-m","Aldi Nord","web",0
2019-06-15,61,"DE","today 1-m","Aldi Nord","web",0
2019-05-18,55,"DE","today 1-m","Aldi Nord","web",0
2019-05-19,86,"DE","today 1-m","Aldi Nord","web",0
2019-05-20,87,"DE","today 1-m","Aldi Nord","web",0
2019-05-21,51,"DE","today 1-m","Aldi Nord","web",0
2019-05-22,55,"DE","today 1-m","Aldi Nord","web",0
2019-05-23,68,"DE","today 1-m","Aldi Nord","web",0
2019-05-24,56,"DE","today 1-m","Aldi Nord","web",0
2019-05-25,60,"DE","today 1-m","Aldi Nord","web",0
2019-05-26,84,"DE","today 1-m","Aldi Nord","web",0
2019-05-27,93,"DE","today 1-m","Aldi Nord","web",0
2019-05-28,62,"DE","today 1-m","Aldi Nord","web",0
2019-05-29,67,"DE","today 1-m","Aldi Nord","web",0
2019-05-30,48,"DE","today 1-m","Aldi Nord","web",0
2019-05-31,64,"DE","today 1-m","Aldi Nord","web",0
2019-06-01,64,"DE","today 1-m","Aldi Nord","web",0
2019-06-02,100,"DE","today 1-m","Aldi Nord","web",0
2019-06-03,91,"DE","today 1-m","Aldi Nord","web",0
2019-06-04,66,"DE","today 1-m","Aldi Nord","web",0
2019-06-05,75,"DE","today 1-m","Aldi Nord","web",0
2019-06-06,75,"DE","today 1-m","Aldi Nord","web",0
2019-06-07,53,"DE","today 1-m","Aldi Nord","web",0
2019-06-08,55,"DE","today 1-m","Aldi Nord","web",0
2019-06-09,68,"DE","today 1-m","Aldi Nord","web",0
2019-06-10,71,"DE","today 1-m","Aldi Nord","web",0
2019-06-11,86,"DE","today 1-m","Aldi Nord","web",0
2019-06-12,69,"DE","today 1-m","Aldi Nord","web",0
2019-06-13,64,"DE","today 1-m","Aldi Nord","web",0
2019-06-14,56,"DE","today 1-m","Aldi Nord","web",0
